,awardYear,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,links.rel,links.href,links.action,links.types,dateAwarded,topMotivation.en,topMotivation.se,0,id,knownName,links,motivation,orgName,portion,sortOrder
97,1920,134100,2394643,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1920,Get,application/json,1920-12-10,,,,484,{'en': 'Léon Bourgeois'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/484', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations', 'no': 'for sitt langvarige bidrag til fred og rettferdighet og sin fremstående rolle i forbindelse med opprettelsen av Folkeforbundet'}",,1,1
98,1920,134100,2394643,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1920,Get,application/json,,,,,25,{'en': 'Charles Edouard Guillaume'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/25', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys', 'se': 'såsom ett erkännande av den förtjänst han genom upptäckten av nickelstållegeringarnas anomalier inlagt om precisionsfysiken'}",,1,1
99,1920,134100,2394643,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1920,Get,application/json,,,,,310,{'en': 'August Krogh'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/310', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of the capillary motor regulating mechanism', 'se': 'för hans upptäckt av den kapillärmotoriska regulationsmekanismen'}",,1,1
100,1921,121573,2532771,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1921,Get,application/json,,,,,179,{'en': 'Frederick Soddy'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/179', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes', 'se': 'för hans bidrag till kännedom om de radioaktiva ämnenas kemi och hans undersökningar rörande isotopers förekomst och natur'}",,1,1
101,1921,121573,2532771,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1921,Get,application/json,,,,,590,{'en': 'Anatole France'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/590', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament', 'se': 'såsom ett erkännande av hans lysande författarverksamhet, präglad av ädel stilkonst, av vidhjärtad humanitet, av behag och franskt lynne'}",,1,1
102,1921,121573,2532771,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1921,Get,application/json,1921-12-10,,,,485,{'en': 'Hjalmar Branting'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/485', 'action': 'Get', 'types': 'application/json'}","{'en': 'for their lifelong contributions to the cause of peace and organized internationalism', 'no': 'for deres livslange bidrag til fred og organisert internasjonalisme'}",,1/2,1
103,1921,121573,2532771,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1921,Get,application/json,,,,,26,{'en': 'Albert Einstein'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/26', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect', 'se': 'för hans förtjänster om den teoretiska fysiken, särskilt hans upptäckt av lagen för den fotoelektriska effekten'}",,1,1
104,1921,121573,2532771,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1921,Get,application/json,,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,,,,,,,,,
105,1922,122483,3145967,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1922,Get,application/json,,,,,180,{'en': 'Francis W. Aston'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/180', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule', 'se': 'för hans medelst masspektrografen gjorda upptäckt av ett stort antal ej radioaktiva grundämnens isotopiförhållanden samt av den s.k. heltalslagen'}",,1,1
106,1922,122483,3145967,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1922,Get,application/json,,,,,592,{'en': 'Jacinto Benavente'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/592', 'action': 'Get', 'types': 'application/json'}","{'en': 'for the happy manner in which he has continued the illustrious traditions of the Spanish drama', 'se': 'för det lyckliga sätt varpå han fullföljt den spanska dramatikens ärofulla traditioner'}",,1,1
