,awardYear,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,links.rel,links.href,links.action,links.types,dateAwarded,topMotivation.en,topMotivation.se,0,id,knownName,links,motivation,orgName,portion,sortOrder
117,1924,116719,3218355,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1924,Get,application/json,,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,,,,,,,,,
118,1924,116719,3218355,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1924,Get,application/json,,,,,29,{'en': 'Manne Siegbahn'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/29', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discoveries and research in the field of X-ray spectroscopy', 'se': 'för hans röntgenspektroskopiska upptäckter och forskningar'}",,1,1
119,1924,116719,3218355,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1924,Get,application/json,,,,,315,{'en': 'Willem Einthoven'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/315', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of the mechanism of the electrocardiogram', 'se': 'för hans upptäckt av elektrokardiogrammets mekanism'}",,1,1
120,1925,118165,3211005,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1925,Get,application/json,,,,,182,{'en': 'Richard Zsigmondy'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/182', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry', 'se': 'för uppvisandet av de kolloida lösningarnas heterogena natur och för de därvid använda metoderna, som varit grundläggande för den moderna kolloidkemien'}",,1,1
121,1925,118165,3211005,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1925,Get,application/json,,,,,596,{'en': 'George Bernard Shaw'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/596', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty', 'se': 'för hans av både idealitet och humanitet uppburna författarskap, vars friska satir ofta med sig förenar en egenartad poetisk skönhet'}",,1,1
122,1925,118165,3211005,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1925,Get,application/json,1926-12-10,,,,488,{'en': 'Sir Austen Chamberlain'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/488', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his crucial role in bringing about the Locarno Treaty', 'no': 'for sin avgjørende rolle i arbeidet med Locarnotraktaten'}",,1/2,1
123,1925,118165,3211005,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1925,Get,application/json,,,,,30,{'en': 'James Franck'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/30', 'action': 'Get', 'types': 'application/json'}","{'en': 'for their discovery of the laws governing the impact of an electron upon an atom', 'se': 'med anledning av deras upptäckt av lagarna för stöten mellan en elektron och en atom'}",,1/2,1
124,1925,118165,3211005,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1925,Get,application/json,,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,,,,,,,,,
125,1926,116960,3273134,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1926,Get,application/json,,,,,183,{'en': 'The Svedberg'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/183', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work on disperse systems', 'se': 'för hans arbeten rörande dispersa system'}",,1,1
126,1926,116960,3273134,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1926,Get,application/json,,,,,597,{'en': 'Grazia Deledda'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/597', 'action': 'Get', 'types': 'application/json'}","{'en': 'for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general', 'se': 'för hennes av hög idealitet burna författarskap, som med plastisk åskådlighet skildrat livet på hennes fäderneö och med djup och värme behandlat allmänt mänskliga problem'}",,1,1
127,1926,116960,3273134,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1926,Get,application/json,1926-12-10,,,,490,{'en': 'Aristide Briand'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/490', 'action': 'Get', 'types': 'application/json'}","{'en': 'for their crucial role in bringing about the Locarno Treaty', 'no': 'for deres avgjørende rolle i arbeidet med Locarnotraktaten'}",,1/2,1
128,1926,116960,3273134,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1926,Get,application/json,,,,,32,{'en': 'Jean Baptiste Perrin'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/32', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium', 'se': 'för hans arbeten rörande materiens diskontinuerliga struktur, särskilt för hans upptäckt av sedimentationsjämvikten'}",,1,1
129,1926,116960,3273134,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1926,Get,application/json,,,,,316,{'en': 'Johannes Fibiger'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/316', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of the Spiroptera carcinoma', 'se': 'för hans upptäckt av spiropteracarcinomet'}",,1,1
130,1927,126501,3593778,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1927,Get,application/json,,,,,184,{'en': 'Heinrich Wieland'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/184', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his investigations of the constitution of the bile acids and related substances', 'se': 'för hans undersökningar över gallsyrornas och närsläktade ämnens konstitution'}",,1,1
131,1927,126501,3593778,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1927,Get,application/json,,,,,600,{'en': 'Henri Bergson'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/600', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented', 'se': 'som ett erkännande åt hans rika och livgivande idéer och den glänsande konst varmed de framburits'}",,1,1
132,1927,126501,3593778,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1927,Get,application/json,1927-12-10,,,,492,{'en': 'Ferdinand Buisson'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/492', 'action': 'Get', 'types': 'application/json'}","{'en': 'for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation', 'no': 'for deres bidrag til å skape en offentlig opinion i Frankrike og Tyskland i favør av fredelig internasjonalt samarbeid'}",,1/2,1
133,1927,126501,3593778,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1927,Get,application/json,,,,,33,{'en': 'Arthur H. Compton'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/33', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of the effect named after him', 'se': 'för hans upptäckt av den efter honom benämnda effekten'}",,1/2,1
134,1927,126501,3593778,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1927,Get,application/json,,,,,317,{'en': 'Julius Wagner-Jauregg'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/317', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica', 'se': 'för hans upptäckt av malariainympningens terapeutiska betydelse vid dementia paralytica'}",,1,1
135,1928,156939,4458494,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1928,Get,application/json,,,,,185,{'en': 'Adolf Windaus'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/185', 'action': 'Get', 'types': 'application/json'}","{'en': 'for the services rendered through his research into the constitution of the sterols and their connection with the vitamins', 'se': 'för hans förtjänster om utforskandet av sterinernas konstitution och deras samband med vitamingruppen'}",,1,1
136,1928,156939,4458494,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1928,Get,application/json,,,,,601,{'en': 'Sigrid Undset'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/601', 'action': 'Get', 'types': 'application/json'}","{'en': 'principally for her powerful descriptions of Northern life during the Middle Ages', 'se': 'förnämligast för hennes mäktiga skildringar ur Nordens medeltida liv'}",,1,1
137,1928,156939,4458494,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1928,Get,application/json,,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,,,,,,,,,
138,1928,156939,4458494,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1928,Get,application/json,,,,,35,{'en': 'Owen Willans Richardson'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/35', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work on the thermionic phenomenon and especially for the discovery of the law named after him', 'se': 'för hans arbeten rörande termjonfenomenet och särskilt för upptäckten av den efter honom benämnda lagen'}",,1,1
139,1928,156939,4458494,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1928,Get,application/json,,,,,318,{'en': 'Charles Nicolle'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/318', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work on typhus', 'se': 'för hans arbeten om fläcktyfus'}",,1,1
140,1929,172760,4907955,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1929,Get,application/json,,,,,186,{'en': 'Arthur Harden'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/186', 'action': 'Get', 'types': 'application/json'}","{'en': 'for their investigations on the fermentation of sugar and fermentative enzymes', 'se': 'för deras undersökningar av sockerarters jäsning och därvid verksamma enzym'}",,1/2,1
141,1929,172760,4907955,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1929,Get,application/json,,,,,602,{'en': 'Thomas Mann'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/602', 'action': 'Get', 'types': 'application/json'}","{'en': 'principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature', 'se': 'förnämligast för hans stora roman Buddenbrooks, vilken under årens lopp vunnit alltmer stadgat erkännande som ett av den samtida litteraturens klassiska verk'}",,1,1
142,1929,172760,4907955,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1929,Get,application/json,1930-12-10,,,,494,{'en': 'Frank B. Kellogg'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/494', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his crucial role in bringing about the Briand-Kellogg Pact', 'no': 'for sin avgjørende rolle i arbeidet med Briand-Kellogg-pakten'}",,1,1
143,1929,172760,4907955,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1929,Get,application/json,,,,,36,{'en': 'Louis de Broglie'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/36', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of the wave nature of electrons', 'se': 'för upptäckten av elektronernas vågnatur'}",,1,1
144,1929,172760,4907955,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1929,Get,application/json,,,,,319,{'en': 'Christiaan Eijkman'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/319', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of the antineuritic vitamin', 'se': 'för hans upptäckt av antinevritiska vitaminet'}",,1/2,1
145,1930,172947,5066807,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1930,Get,application/json,,,,,188,{'en': 'Hans Fischer'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/188', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin', 'se': 'för hans arbeten över blad - och blodfärgämenenas konstitution samt för hans syntes av hämin'}",,1,1
146,1930,172947,5066807,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1930,Get,application/json,,,,,603,{'en': 'Sinclair Lewis'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/603', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters', 'se': 'för hans starka och levande skildringskonst, med typskapande förmåga, med kvickhet och humor'}",,1,1
147,1930,172947,5066807,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1930,Get,application/json,1930-12-10,,,,495,{'en': 'Nathan Söderblom'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/495', 'action': 'Get', 'types': 'application/json'}","{'en': ""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'"", 'no': 'for arbeidet med å fremme kristent samhold og skape \x93denne nye innstillingen som er nødvendig hvis fred mellom nasjoner skal bli en realitet'}",,1,1
148,1930,172947,5066807,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1930,Get,application/json,,,,,37,{'en': 'Sir Chandrasekhara Venkata Raman'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/37', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work on the scattering of light and for the discovery of the effect named after him', 'se': 'för hans arbeten angående ljusets diffusion och för upptäckten av den efter honom uppkallade effekten'}",,1,1
149,1930,172947,5066807,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1930,Get,application/json,,,,,321,{'en': 'Karl Landsteiner'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/321', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of human blood groups', 'se': 'för hans upptäckt av människosläktets blodgrupper'}",,1,1
150,1931,173206,5238085,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1931,Get,application/json,,,,,189,{'en': 'Carl Bosch'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/189', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of their contributions to the invention and development of chemical high pressure methods', 'se': 'för deras förtjänster om kemiska högtrycksmetoders uppkomst och utveckling'}",,1/2,1
151,1931,173206,5238085,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1931,Get,application/json,,,,,604,{'en': 'Erik Axel Karlfeldt'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/604', 'action': 'Get', 'types': 'application/json'}","{'en': 'The poetry of Erik Axel Karlfeldt', 'se': 'Erik Axel Karlfeldts diktning'}",,1,1
152,1931,173206,5238085,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1931,Get,application/json,1931-12-10,,,,496,{'en': 'Jane Addams'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/496', 'action': 'Get', 'types': 'application/json'}","{'en': 'for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind', 'no': 'for deres iherdige innsats for å blåse nytt liv i fredsidealet og gjenoppvekke fredsånden i sine hjemland og i hele menneskeheten'}",,1/2,1
153,1931,173206,5238085,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1931,Get,application/json,,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,,,,,,,,,
154,1931,173206,5238085,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1931,Get,application/json,,,,,322,{'en': 'Otto Warburg'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/322', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of the nature and mode of action of the respiratory enzyme', 'se': 'för hans upptäckt av andningsfermentets art och verkningssätt'}",,1,1
155,1932,171753,5279293,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1932,Get,application/json,,,,,191,{'en': 'Irving Langmuir'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/191', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discoveries and investigations in surface chemistry', 'se': 'för hans upptäckter och undersökningar inom ytkemien'}",,1,1
156,1932,171753,5279293,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1932,Get,application/json,,,,,605,{'en': 'John Galsworthy'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/605', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>', 'se': 'för den förnäma skildringskonst, som i The Forsyte Saga uppnått sitt högsta uttryck'}",,1,1
157,1932,171753,5279293,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1932,Get,application/json,,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,,,,,,,,,
158,1932,171753,5279293,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1932,Get,application/json,,,,,38,{'en': 'Werner Heisenberg'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/38', 'action': 'Get', 'types': 'application/json'}","{'en': 'for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen', 'se': 'för uppställande av kvantmekaniken, vars användning bl.a. lett till upptäckten av vätets allotropa former'}",,1,1
159,1932,171753,5279293,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1932,Get,application/json,,,,,323,{'en': 'Sir Charles Sherrington'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/323', 'action': 'Get', 'types': 'application/json'}","{'en': 'for their discoveries regarding the functions of neurons', 'se': 'för deras upptäckter rörande neuronets funktioner'}",,1/2,1
160,1933,170332,5413093,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1933,Get,application/json,,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.,,,,,,,,,
161,1933,170332,5413093,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1933,Get,application/json,,,,,606,{'en': 'Ivan Bunin'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/606', 'action': 'Get', 'types': 'application/json'}","{'en': 'for the strict artistry with which he has carried on the classical Russian traditions in prose writing', 'se': 'för det stränga konstnärskap, varmed han företrätt den klassiskt ryska linjen i prosadiktningen'}",,1,1
162,1933,170332,5413093,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1933,Get,application/json,1934-12-10,,,,498,{'en': 'Sir Norman Angell'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/498', 'action': 'Get', 'types': 'application/json'}","{'en': 'for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace', 'no': 'for å ha brukt sin penn til å avdekke krigens illusjoner og formulere en overbevisende forsvarstale for internasjonalt samarbeid og fred'}",,1,1
163,1933,170332,5413093,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1933,Get,application/json,,,,,39,{'en': 'Erwin Schrödinger'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/39', 'action': 'Get', 'types': 'application/json'}","{'en': 'for the discovery of new productive forms of atomic theory', 'se': 'för upptäckandet av nya fruktbärande former av atomteorien'}",,1/2,1
164,1933,170332,5413093,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1933,Get,application/json,,,,,325,{'en': 'Thomas H. Morgan'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/325', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discoveries concerning the role played by the chromosome in heredity', 'se': 'för hans upptäckter rörande kromosomernas ärftlighetsbärande funktioner'}",,1,1
165,1934,162608,5167627,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1934,Get,application/json,,,,,192,{'en': 'Harold C. Urey'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/192', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his discovery of heavy hydrogen', 'se': 'för upptäckten av det tunga vätet'}",,1,1
166,1934,162608,5167627,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1934,Get,application/json,,,,,607,{'en': 'Luigi Pirandello'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/607', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his bold and ingenious revival of dramatic and scenic art', 'se': 'för hans djärva och sinnrika nyskapelse av dramats och scenens konst'}",,1,1
