year_awarded,nobel_prize,recipient,gender,prize_amount,birth_place
1929,The Nobel Prize in Physiology or Medicine,Christiaan Eijkman,male,172760,the Netherlands
1930,The Nobel Prize in Chemistry,Hans Fischer,male,172947,Germany
1930,The Nobel Prize in  Literature,Sinclair Lewis,male,172947,USA
1930,The Nobel Peace Prize,Nathan Söderblom,male,172947,Sweden
1930,The Nobel Prize in Physics,Sir Chandrasekhara Venkata Raman,male,172947,India
1930,The Nobel Prize in Physiology or Medicine,Karl Landsteiner,male,172947,Austrian Empire
1931,The Nobel Prize in Chemistry,Carl Bosch,male,173206,Germany
1931,The Nobel Prize in  Literature,Erik Axel Karlfeldt,male,173206,Sweden
1931,The Nobel Peace Prize,Jane Addams,female,173206,USA
1931,The Nobel Prize in Physiology or Medicine,Otto Warburg,male,173206,Germany
1932,The Nobel Prize in Chemistry,Irving Langmuir,male,171753,USA
1932,The Nobel Prize in  Literature,John Galsworthy,male,171753,United Kingdom
1932,The Nobel Prize in Physics,Werner Heisenberg,male,171753,Germany
1932,The Nobel Prize in Physiology or Medicine,Sir Charles Sherrington,male,171753,United Kingdom
1933,The Nobel Prize in  Literature,Ivan Bunin,male,170332,Russia
1933,The Nobel Peace Prize,Sir Norman Angell,male,170332,United Kingdom
1933,The Nobel Prize in Physics,Erwin Schrödinger,male,170332,Austria
1933,The Nobel Prize in Physiology or Medicine,Thomas H. Morgan,male,170332,USA
1934,The Nobel Prize in Chemistry,Harold C. Urey,male,162608,USA
1934,The Nobel Prize in  Literature,Luigi Pirandello,male,162608,Italy
1934,The Nobel Peace Prize,Arthur Henderson,male,162608,Scotland
1934,The Nobel Prize in Physiology or Medicine,George H. Whipple,male,162608,USA
1935,The Nobel Prize in Chemistry,Frédéric Joliot,male,159917,France
1935,The Nobel Peace Prize,Carl von Ossietzky,male,159917,Germany
1935,The Nobel Prize in Physics,James Chadwick,male,159917,United Kingdom
1935,The Nobel Prize in Physiology or Medicine,Hans Spemann,male,159917,Württemberg
1936,The Nobel Prize in Chemistry,Peter Debye,male,159850,the Netherlands
1936,The Nobel Prize in  Literature,Eugene O'Neill,male,159850,USA
1936,The Nobel Peace Prize,Carlos Saavedra Lamas,male,159850,Argentina
1936,The Nobel Prize in Physics,Victor F. Hess,male,159850,Austria
1936,The Nobel Prize in Physiology or Medicine,Sir Henry Dale,male,159850,United Kingdom
1937,The Nobel Prize in Chemistry,Norman Haworth,male,158463,United Kingdom
1937,The Nobel Prize in  Literature,Roger Martin du Gard,male,158463,France
1937,The Nobel Peace Prize,"Robert Cecil, Viscount Cecil of Chelwood",male,158463,United Kingdom
1937,The Nobel Prize in Physics,Clinton Davisson,male,158463,USA
1937,The Nobel Prize in Physiology or Medicine,Albert Szent-Györgyi,male,158463,Austria-Hungary
