,id,knownName.en,orgName.en,gender,birth.date,birth.place.country.en
818,437,Sir James W. Black,,male,1924-06-14,Scotland
819,874,Sir John B. Gurdon,,male,1933-10-02,United Kingdom
820,375,Sir John Eccles,,male,1903-01-27,Australia
821,812,Sir Martin J. Evans,,male,1941-01-01,United Kingdom
822,108,Sir Nevill F. Mott,,male,1905-09-30,United Kingdom
823,498,Sir Norman Angell,,male,1872-12-26,United Kingdom
824,737,Sir Paul Nurse,,male,1949-01-25,United Kingdom
825,971,Sir Peter J. Ratcliffe,,male,1954-05-14,United Kingdom
826,765,Sir Peter Mansfield,,male,1933-10-09,United Kingdom
827,207,Sir Robert Robinson,,male,1886-09-13,United Kingdom
828,163,Sir William Ramsay,,male,1852-10-02,Scotland
829,242,Stanford Moore,,male,1913-09-04,USA
830,457,Stanley B. Prusiner,,male,1942-05-28,USA
831,434,Stanley Cohen,,male,1922-11-17,USA
832,910,Stefan W. Hell,,male,1962-12-23,Romania
833,152,Steven Chu,,male,1948-02-28,USA
834,115,Steven Weinberg,,male,1933-05-03,USA
835,122,Subramanyan Chandrasekhar,,male,1910-10-19,India
836,569,Sully Prudhomme,,male,1839-03-16,France
837,425,Sune K. Bergström,,male,1916-01-10,Sweden
838,436,Susumu Tonegawa,,male,1939-09-05,Japan
839,162,Svante Arrhenius,,male,1859-02-19,Sweden
840,924,Svetlana Alexievich,,female,1948-05-31,Ukraine
841,750,Sydney Brenner,,male,1927-01-13,South Africa
842,619,T.S. Eliot,,male,1888-09-26,USA
843,350,Tadeus Reichstein,,male,1897-07-20,Poland
844,919,Takaaki Kajita,,male,1959-03-09,Japan
845,959,Tasuku Honjo,,male,1942-01-27,Japan
846,871,Tawakkol Karman,,female,1979-02-07,Yemen
847,551,The 14th Dalai Lama ,,male,1935-07-06,Tibet
848,183,The Svedberg,,male,1884-08-30,Sweden
849,303,Theodor Kocher,,male,1841-08-25,Switzerland
850,571,Theodor Mommsen,,male,1817-11-30,Schleswig
851,793,Theodor W. Hänsch,,male,1941-10-30,Germany
852,470,Theodore Roosevelt,,male,1858-10-27,USA
853,175,Theodore W. Richards,,male,1868-01-31,USA
854,692,Theodore W. Schultz,,male,1902-04-30,USA
855,842,Thomas A. Steitz,,male,1940-08-23,USA
856,800,Thomas C. Schelling,,male,1921-04-14,USA
857,886,Thomas C. Südhof,,male,1955-12-22,Germany
858,325,Thomas H. Morgan,,male,1866-09-25,USA
859,357,Thomas H. Weller,,male,1915-06-15,USA
860,872,Thomas J. Sargent,,male,1943-07-19,USA
861,602,Thomas Mann,,male,1875-06-06,Germany
862,274,Thomas R. Cech,,male,1947-12-08,USA
863,736,Tim Hunt,,male,1943-02-19,United Kingdom
864,687,Tjalling C. Koopmans,,male,1910-08-28,the Netherlands
865,478,Tobias Asser,,male,1838-04-28,the Netherlands
866,921,Tomas Lindahl,,male,1938-01-28,Sweden
867,868,Tomas Tranströmer,,male,1931-04-15,Sweden
868,670,Toni Morrison,,female,1931-02-18,USA
869,424,Torsten N. Wiesel,,male,1924-06-03,Sweden
870,828,Toshihide Maskawa,,male,1940-02-07,Japan
871,703,Trygve Haavelmo,,male,1911-12-13,Norway
872,69,Tsung-Dao Lee,,male,1926-11-24,China
873,918,Tu Youyou,,female,1930-12-30,China
874,395,Ulf von Euler,,male,1905-02-07,Sweden
875,748,United Nations,United Nations,,,
876,525,United Nations Children's Fund,United Nations Children's Fund,,,
877,550,United Nations Peacekeeping Forces,United Nations Peacekeeping Forces,,,
878,747,V. S. Naipaul,,male,1932-08-17,Trinidad and Tobago
879,117,Val Fitch,,male,1923-03-10,USA
880,841,Venkatraman Ramakrishnan,,male,1952-00-00,India
881,585,Verner von Heidenstam,,male,1859-07-06,Sweden
882,760,Vernon L. Smith,,male,1927-01-01,USA
883,653,Vicente Aleixandre,,male,1898-04-26,Spain
884,42,Victor F. Hess,,male,1883-06-24,Austria
885,172,Victor Grignard,,male,1871-05-06,France
886,218,Vincent du Vigneaud,,male,1901-05-18,USA
887,767,Vitaly L. Ginzburg,,male,1916-10-04,Russia
888,248,Vladimir Prelog,,male,1906-07-23,Austria-Hungary
889,255,Walter Gilbert,,male,1932-03-21,USA
890,67,Walter H. Brattain,,male,1902-02-10,China
891,347,Walter Hess,,male,1881-03-17,Switzerland
892,290,Walter Kohn,,male,1923-03-09,Austria
893,62,Walther Bothe,,male,1891-01-08,Germany
894,178,Walther Nernst,,male,1864-06-25,Prussia
895,783,Wangari Maathai,,female,1940-04-01,Kenya
896,683,Wassily Leontief,,male,1906-08-05,Russia
897,206,Wendell M. Stanley,,male,1904-08-16,USA
898,414,Werner Arber,,male,1929-06-03,Switzerland
899,361,Werner Forssmann,,male,1904-08-29,Germany
900,38,Werner Heisenberg,,male,1901-12-05,Germany
901,1,Wilhelm Conrad Röntgen,,male,1845-03-27,Prussia
902,168,Wilhelm Ostwald,,male,1853-09-02,Russian Empire
903,16,Wilhelm Wien,,male,1864-01-13,Prussia
904,224,Willard F. Libby,,male,1908-12-17,USA
905,839,Willard S. Boyle,,male,1924-08-19,Canada
906,315,Willem Einthoven,,male,1860-05-21,"Java, Dutch East Indies"
907,123,William A. Fowler,,male,1911-08-09,USA
908,65,William B. Shockley,,male,1910-02-13,United Kingdom
909,20,William Bragg,,male,1862-07-02,United Kingdom
910,593,William Butler Yeats,,male,1865-06-13,Ireland
911,916,William C. Campbell,,male,1930-06-28,Ireland
912,968,William D. Nordhaus,,male,1941-05-31,USA
